rnti,frame,slot,dci,rb_alloc,mcs,rv_idx1,harq_process
18160,782,5,1_1,0x0,27,0,0
18160,782,6,1_1,0x0,31,0,1
18160,782,16,1_1,0x32,27,0,0
18160,783,5,1_1,0x32,31,0,1
18160,783,15,1_1,0x32,27,0,0
18160,783,16,1_1,0x32,31,0,1
18160,784,6,1_1,0x32,27,0,0
18160,784,15,0_1,0x62,23,0,0
18160,785,11,0_1,0x62,23,1,0
18160,785,17,1_1,0x0,23,0,0
18160,786,5,0_1,0x62,23,2,0
18160,786,15,1_1,0x0,31,0,0
18160,787,1,0_1,0x62,23,3,0
18160,787,6,1_1,0x0,31,0,0
18160,787,15,0_1,0x62,23,0,0
18160,788,6,1_1,0x0,31,0,0
18160,788,11,0_1,0x35,23,0,0
18160,789,5,1_1,0x0,31,0,0
18160,789,5,0_1,0xc6,8,0,0
18160,790,1,0_1,0x9b,8,1,0
18160,790,7,1_1,0x33,8,0,0
18160,790,15,0_1,0xa8,8,2,0
18160,791,5,1_1,0x64,29,0,0
18160,791,7,1_1,0x0,8,0,1
269,761,10,1_0,0x5e,0,0,39
18161,762,5,1_0,0x450,0,1,0
18161,764,15,0_1,0x42,28,0,0
18161,765,6,1_1,0x32,6,0,0
18161,765,10,1_1,0x64,6,0,1
18161,766,15,0_1,0x62,28,0,0
18161,767,6,1_1,0x33,6,0,0
18161,768,15,0_1,0x62,28,0,0
18161,769,10,1_0,0x30,0,0,0
18161,770,15,0_0,0x42,0,0,0
18161,771,6,1_1,0x0,27,0,0
18161,771,7,1_1,0x64,26,0,1
18161,771,10,1_1,0x33,27,0,2
18161,772,15,0_1,0x2,27,0,0
18161,773,6,1_1,0x32,27,0,0
18161,773,7,1_1,0x33,26,0,1
18161,774,15,0_1,0x2,26,0,0
18161,775,11,0_1,0x30,27,0,0
18161,776,5,0_1,0x2,27,1,0
18161,776,16,1_1,0x0,27,0,0
18161,777,0,1_1,0x33,27,0,1
18161,777,2,1_1,0x65,27,0,2
18161,777,3,1_1,0xff,27,0,3
18161,777,4,1_1,0x3fc,27,0,4
18161,778,15,0_1,0x2,27,0,0
18161,779,11,0_1,0x30,27,1,0
18161,780,5,0_1,0x30,24,0,0
18161,781,1,0_1,0x30,24,1,0
18161,781,15,1_1,0x32,27,0,0
