rnti,frame,slot,dci,rb_alloc,mcs,rv_idx1,harq_process
19754,53,15,1_1,0x165,27,0,0
19754,54,10,1_1,0x165,27,0,0
19754,54,15,0_1,0x42,21,0,0
19754,55,5,1_1,0x165,27,0,0
19754,56,1,1_1,0x165,26,0,0
19754,56,13,1_1,0x190,27,0,1
19754,56,15,0_1,0x2,24,0,0
19754,57,7,1_1,0x3e8,27,0,0
19754,58,1,1_1,0x165,27,0,1
19754,58,15,0_1,0x2,24,0,0
19754,58,17,1_1,0x3c9,27,0,0
19754,59,11,1_1,0x165,27,0,1
19754,60,6,1_1,0x190,27,0,0
19754,60,15,0_1,0x2,24,0,0
19754,61,0,1_1,0x165,27,0,1
19754,61,13,1_1,0x190,27,0,0
19754,62,10,1_1,0x165,27,0,0
19754,62,15,0_1,0x2,24,0,0
19754,63,3,1_1,0x165,27,0,1
19754,63,17,1_1,0x3c9,27,0,0
19754,64,6,1_1,0x32,27,0,1
19754,64,11,1_1,0x165,26,0,2
19754,64,15,0_1,0x30,24,0,0
19754,65,5,1_1,0x190,27,0,0
19754,66,1,1_1,0x165,27,0,0
19754,66,15,0_1,0x62,22,0,0
19754,66,15,1_1,0x190,27,0,0
19754,67,10,1_1,0x165,27,0,0
19754,68,6,1_1,0x190,27,0,0
19754,68,15,0_1,0x42,21,0,0
19754,68,17,1_1,0x3e8,27,0,1
19754,69,13,1_1,0x165,27,0,0
19754,70,7,1_1,0x3c9,27,0,0
19754,70,15,0_1,0x42,23,0,0
19754,71,1,1_1,0x165,27,0,1
19754,71,15,1_1,0x165,27,0,0
19754,72,10,1_1,0x165,27,0,0
19754,72,15,0_1,0x42,22,0,0
19754,73,5,1_1,0x190,27,0,0
19754,74,1,1_1,0x190,27,0,0
19754,74,13,1_1,0x165,27,0,1
19754,74,15,0_1,0x2,24,0,0
19754,75,7,1_1,0x3c9,27,0,0
19754,76,1,1_1,0x165,26,0,1
19754,76,15,0_1,0x2,24,0,0
19754,76,17,1_1,0x3c9,27,0,0
19754,77,11,1_1,0x165,27,0,1
19754,78,5,1_1,0x190,27,0,0
19754,78,15,0_1,0x62,21,0,0
19754,79,0,1_1,0x165,27,0,0
19754,79,13,1_1,0x165,27,0,1
19754,80,10,1_1,0x165,27,0,0
19754,80,15,0_1,0x42,21,0,0
19754,81,3,1_1,0x190,27,0,1
19754,81,17,1_1,0x3c9,27,0,0
19754,82,11,1_1,0x190,26,0,1
19754,82,15,0_1,0x42,21,0,0
19754,83,5,1_1,0x190,27,0,0
19754,84,1,1_1,0x165,26,0,0
19754,84,15,0_1,0x30,24,0,0
19754,84,15,1_1,0x190,27,0,0
19754,85,10,1_1,0x190,27,0,0
19754,85,11,0_1,0x2,24,1,0
19754,86,3,1_1,0x190,27,0,1
19754,86,15,0_1,0x30,25,0,0
19754,86,17,1_1,0x3c9,27,0,0
19754,87,11,0_1,0x30,25,1,0
19754,87,13,1_1,0x190,27,0,1
19754,88,7,1_1,0x3c9,27,0,0
19754,88,15,0_1,0x62,22,0,0
19754,89,1,1_1,0x165,27,0,1
19754,89,15,1_1,0x190,27,0,0
19754,90,10,1_1,0x165,27,0,0
19754,90,15,0_1,0x62,22,0,0
19754,91,5,1_1,0x165,27,0,0
19754,92,1,1_1,0x165,26,0,0
19754,92,13,1_1,0x190,27,0,1
19754,92,15,0_1,0x62,21,0,0
19754,93,7,1_1,0x3e8,27,0,0
19754,94,1,1_1,0x165,27,0,1
19754,94,15,0_1,0x42,23,0,0
19754,94,17,1_1,0x3e8,27,0,0
19754,95,11,1_1,0x190,27,0,1
19754,96,6,1_1,0x190,27,0,0
19754,96,15,0_1,0x2,24,0,0
19754,97,0,1_1,0x190,27,0,1
19754,97,13,1_1,0x165,27,0,0
19754,98,10,1_1,0x190,27,0,0
19754,98,15,0_1,0x30,24,0,0
19754,99,3,1_1,0x190,27,0,1
19754,99,17,1_1,0x3e8,27,0,0
19754,100,11,1_1,0x190,26,0,1
19754,100,15,0_1,0x62,21,0,0
19754,101,5,1_1,0x190,27,0,0
19754,102,1,1_1,0x190,27,0,0
19754,102,15,0_1,0x62,21,0,0
19754,102,15,1_1,0x165,27,0,0
19754,103,10,1_1,0x190,27,0,0
19754,104,6,1_1,0x165,27,0,0
19754,104,15,0_1,0x42,22,0,0
19754,104,17,1_1,0x3c9,27,0,1
